onset	duration	nwb_table	event_type
8.683750000000002	0.10000000000000142	TimeIntervals	Lick
9.984000000000002	0.06649999999999778	TimeIntervals	Lick
10.150500000000001	0.06675000000000075	TimeIntervals	Lick
11.884250000000002	0.10000000000000142	TimeIntervals	Lick
12.550999999999998	0.06650000000000311	TimeIntervals	Lick
12.717500000000001	0.06675000000000253	TimeIntervals	Lick
12.851	0.09999999999999964	TimeIntervals	Lick
13.017750000000001	0.06675000000000075	TimeIntervals	Lick
13.1845	0.03325000000000067	TimeIntervals	Lick
13.284500000000001	0.09999999999999964	TimeIntervals	Lick
13.417749999999998	0.1000000000000032	TimeIntervals	Lick
13.551	0.09999999999999964	TimeIntervals	Lick
13.6845	0.10000000000000142	TimeIntervals	Lick
13.81775	0.09999999999999787	TimeIntervals	Lick
13.951	0.10024999999999906	TimeIntervals	Lick
14.117999999999999	0.06650000000000134	TimeIntervals	Lick
14.25125	0.10000000000000142	TimeIntervals	Lick
14.384500000000001	0.06674999999999898	TimeIntervals	Reward
14.384500000000001	0.06674999999999898	TimeIntervals	Lick
14.518	0.09999999999999964	TimeIntervals	Lick
14.651250000000001	0.1667500000000004	TimeIntervals	Lick
14.851250000000002	0.09999999999999787	TimeIntervals	Lick
14.984500000000004	0.20024999999999693	TimeIntervals	Lick
15.218000000000002	0.09999999999999964	TimeIntervals	Lick
15.351500000000005	0.09999999999999254	TimeIntervals	Lick
15.484750000000002	0.10000000000000142	TimeIntervals	Lick
15.617999999999999	0.10000000000000497	TimeIntervals	Lick
15.7515	0.10000000000000497	TimeIntervals	Lick
15.884750000000002	0.09999999999999787	TimeIntervals	Lick
16.017999999999997	0.10000000000000142	TimeIntervals	Lick
16.1515	0.10000000000000142	TimeIntervals	Lick
16.284999999999997	0.13325000000000387	TimeIntervals	Lick
16.4515	0.09999999999999787	TimeIntervals	Lick
16.584999999999997	0.10000000000000142	TimeIntervals	Lick
16.7515	0.10000000000000142	TimeIntervals	Lick
16.91825	0.06674999999999898	TimeIntervals	Lick
17.485000000000003	0.13349999999999795	TimeIntervals	Lick
17.784999999999997	0.10000000000000497	TimeIntervals	Lick
18.352	0.10000000000000142	TimeIntervals	Lick
19.1185	0.09999999999999432	TimeIntervals	Lick
19.3185	0.06674999999999898	TimeIntervals	Lick
19.81875	0.03324999999999889	TimeIntervals	Lick
20.0855	0.06650000000000134	TimeIntervals	Lick
20.919000000000004	0.13324999999999676	TimeIntervals	Lick
