onset	duration	nwb_table	event_type
10.213000000000001	0.8670000000000009	TimeIntervals	Light
25.3155	0.8667500000000032	TimeIntervals	Light
36.2505	1.3334999999999937	TimeIntervals	Tone
69.78875	0.8667500000000103	TimeIntervals	Light
87.65825000000001	1.3335000000000008	TimeIntervals	Tone
128.29775	0.8000000000000114	TimeIntervals	Light
164.30300000000003	0.800249999999977	TimeIntervals	Light
188.1735	1.333500000000015	TimeIntervals	Tone
204.976	0.06649999999999068	TimeIntervals	Lick
205.20950000000002	0.0665000000000191	TimeIntervals	Lick
205.34275	0.06675000000001319	TimeIntervals	Lick
205.44275	0.10000000000002274	TimeIntervals	Lick
205.57600000000002	0.0999999999999659	TimeIntervals	Lick
205.77600000000004	0.7002499999999543	TimeIntervals	Lick
206.54299999999998	0.7335000000000775	TimeIntervals	Lick
207.30974999999998	0.40000000000006253	TimeIntervals	Lick
207.77650000000006	0.16649999999995657	TimeIntervals	Lick
208.51	0.13325000000000387	TimeIntervals	Lick
208.94325	0.13325000000000387	TimeIntervals	Lick
209.3765	0.06700000000000728	TimeIntervals	Lick
209.5435	0.30000000000001137	TimeIntervals	Lick
210.47675	0.13349999999999795	TimeIntervals	Lick
211.11025	0.13325000000000387	TimeIntervals	Lick
211.5435	1.333750000000009	TimeIntervals	Tone
212.177	0.03350000000006048	TimeIntervals	Lick
212.57700000000003	0.33349999999995816	TimeIntervals	Lick
213.6105	0.10000000000005116	TimeIntervals	Lick
215.011	0.06649999999999068	TimeIntervals	Lick
215.24425000000002	0.3667499999999677	TimeIntervals	Lick
216.311	0.6667500000000075	TimeIntervals	Lick
220.34500000000003	0.4000000000000057	TimeIntervals	Lick
221.94525000000002	0.7667500000000018	TimeIntervals	Lick
223.74550000000002	0.06674999999995634	TimeIntervals	Lick
223.879	0.0665000000000191	TimeIntervals	Lick
228.11299999999997	0.3332500000000209	TimeIntervals	Lick
229.37975	0.46674999999999045	TimeIntervals	Lick
241.94824999999997	1.3335000000000434	TimeIntervals	Tone
253.45000000000002	0.8334999999999866	TimeIntervals	Light
291.35575	1.333500000000015	TimeIntervals	Tone
328.6615	1.3667499999999677	TimeIntervals	Tone
351.03150000000005	1.3334999999999013	TimeIntervals	Tone
376.43550000000005	1.3334999999999013	TimeIntervals	Tone
408.8070000000001	1.3334999999999582	TimeIntervals	Tone
416.10799999999995	0.20000000000004547	TimeIntervals	Lick
416.47475000000003	0.06674999999995634	TimeIntervals	Lick
417.17499999999995	1.333500000000015	TimeIntervals	Tone
417.2749999999999	0.33325000000007776	TimeIntervals	Lick
419.4752500000001	0.3999999999999204	TimeIntervals	Lick
420.24199999999996	0.06650000000007594	TimeIntervals	Lick
420.3755	0.10000000000002274	TimeIntervals	Lick
420.5755	0.19999999999998863	TimeIntervals	Lick
420.80875	0.6667500000000359	TimeIntervals	Lick
421.54224999999997	0.1332500000000323	TimeIntervals	Lick
421.74225	0.16675000000003593	TimeIntervals	Lick
422.009	0.1332500000000323	TimeIntervals	Lick
422.209	0.03325000000000955	TimeIntervals	Lick
422.34225	0.19999999999998863	TimeIntervals	Lick
422.609	0.8667500000000246	TimeIntervals	Lick
423.80925	0.23324999999999818	TimeIntervals	Lick
424.07599999999996	0.19999999999998863	TimeIntervals	Lick
424.376	0.16650000000004184	TimeIntervals	Lick
424.84275	0.1999999999999318	TimeIntervals	Lick
425.14275000000004	0.19999999999998863	TimeIntervals	Lick
425.84275	0.33349999999995816	TimeIntervals	Lick
428.00975000000005	0.13349999999996953	TimeIntervals	Lick
429.47675000000004	0.46674999999999045	TimeIntervals	Lick
430.31025	0.1332500000000323	TimeIntervals	Lick
431.077	0.6999999999999318	TimeIntervals	Lick
432.91049999999996	0.2335000000000491	TimeIntervals	Lick
434.34400000000005	0.4002499999999145	TimeIntervals	Lick
434.94425	0.20000000000004547	TimeIntervals	Lick
435.511	0.2999999999999545	TimeIntervals	Lick
435.97774999999996	0.16675000000009277	TimeIntervals	Lick
436.311	0.16674999999997908	TimeIntervals	Lick
438.14475000000004	0.1999999999999318	TimeIntervals	Lick
439.245	0.16650000000004184	TimeIntervals	Lick
439.745	0.23324999999999818	TimeIntervals	Lick
440.045	0.0999999999999659	TimeIntervals	Lick
440.47850000000005	0.16649999999992815	TimeIntervals	Lick
452.547	1.3334999999999582	TimeIntervals	Tone
492.9529999999999	1.3335000000001287	TimeIntervals	Tone
519.2905000000001	1.2999999999999545	TimeIntervals	Tone
560.6300000000001	1.3334999999998445	TimeIntervals	Tone
576.0655000000002	1.3334999999999582	TimeIntervals	Tone
607.4705	1.3335000000000719	TimeIntervals	Tone
617.8720000000002	1.3334999999998445	TimeIntervals	Tone
647.4765000000001	0.7999999999999545	TimeIntervals	Light
683.3820000000001	1.3334999999999582	TimeIntervals	Tone
687.6492500000002	0.20000000000004547	TimeIntervals	Lick
688.48275	0.4667500000000473	TimeIntervals	Lick
689.3827500000001	0.2667500000000018	TimeIntervals	Lick
689.6830000000001	0.10000000000002274	TimeIntervals	Lick
689.81625	0.06675000000018372	TimeIntervals	Lick
690.01625	0.4667500000000473	TimeIntervals	Lick
690.51625	0.4002500000001419	TimeIntervals	Lick
691.0165	0.16650000000015552	TimeIntervals	Lick
691.44975	0.16675000000009277	TimeIntervals	Lick
691.75	0.10000000000002274	TimeIntervals	Lick
691.8832500000001	0.20000000000004547	TimeIntervals	Lick
692.2165	0.16675000000009277	TimeIntervals	Lick
692.4499999999999	0.10000000000013642	TimeIntervals	Lick
692.6500000000001	0.1999999999999318	TimeIntervals	Lick
692.9835000000002	0.06649999999990541	TimeIntervals	Lick
693.1500000000001	0.1999999999999318	TimeIntervals	Lick
693.4835000000002	0.09999999999990905	TimeIntervals	Lick
693.6500000000001	0.2335000000000491	TimeIntervals	Lick
693.7835000000001	1.3334999999999582	TimeIntervals	Tone
694.0169999999999	0.3332500000001346	TimeIntervals	Lick
694.5169999999999	0.16650000000015552	TimeIntervals	Lick
694.7170000000001	0.2665000000000646	TimeIntervals	Lick
695.317	0.13350000000002638	TimeIntervals	Lick
696.3172500000001	0.43325000000004366	TimeIntervals	Lick
696.9505	0.20000000000004547	TimeIntervals	Lick
697.7840000000001	0.03350000000000364	TimeIntervals	Lick
698.3175000000001	0.1999999999999318	TimeIntervals	Lick
698.551	0.2665000000000646	TimeIntervals	Lick
698.8510000000001	0.23324999999999818	TimeIntervals	Lick
703.185	1.3000000000000682	TimeIntervals	Tone
716.5535	1.3335000000001855	TimeIntervals	Tone
732.9559999999999	1.3670000000001892	TimeIntervals	Tone
753.3925	1.3335000000000719	TimeIntervals	Tone
761.7605000000001	1.3335000000000719	TimeIntervals	Tone
786.1640000000002	1.3337499999997817	TimeIntervals	Tone
809.6677500000001	0.9002500000000282	TimeIntervals	Light
848.5735	1.3335000000001855	TimeIntervals	Tone
886.146	0.8335000000000719	TimeIntervals	Light
909.9830000000001	1.3334999999999582	TimeIntervals	Tone
931.3530000000001	1.3334999999999582	TimeIntervals	Tone
937.75375	1.3337500000002365	TimeIntervals	Tone
960.0905	1.3335000000000719	TimeIntervals	Tone
989.4950000000001	1.3335000000000719	TimeIntervals	Tone
1016.86575	1.3002500000000055	TimeIntervals	Tone
1027.1675	1.3335000000001855	TimeIntervals	Tone
1067.5735000000002	1.3002500000000055	TimeIntervals	Tone
1107.1462500000002	0.8332499999996799	TimeIntervals	Light
1144.9852500000002	1.3334999999997308	TimeIntervals	Tone
1152.353	1.3334999999999582	TimeIntervals	Tone
1168.6890000000003	1.3334999999995034	TimeIntervals	Tone
1196.2265	0.8332499999999072	TimeIntervals	Light
1215.096	1.3335000000001855	TimeIntervals	Tone
1248.6675	0.8335000000001855	TimeIntervals	Light
1268.5704999999998	1.3337500000002365	TimeIntervals	Tone
1275.9385000000002	1.3334999999997308	TimeIntervals	Tone
1285.2732500000002	1.3334999999997308	TimeIntervals	Tone
1302.509	0.06674999999995634	TimeIntervals	Lick
1302.6090000000002	0.33349999999995816	TimeIntervals	Lick
1303.1092500000002	0.6667499999998654	TimeIntervals	Lick
1303.676	1.3335000000001855	TimeIntervals	Tone
1303.8095000000003	0.16650000000004184	TimeIntervals	Lick
1304.14275	0.20000000000004547	TimeIntervals	Lick
1304.3760000000002	0.1667499999998654	TimeIntervals	Lick
1305.143	0.43325000000004366	TimeIntervals	Lick
1305.643	0.1665000000002692	TimeIntervals	Lick
1307.24325	0.29999999999972715	TimeIntervals	Lick
1308.0432499999997	0.13350000000036744	TimeIntervals	Lick
1308.67675	0.13324999999986176	TimeIntervals	Lick
1309.8770000000004	0.1664999999995871	TimeIntervals	Lick
1311.2105000000001	0.1665000000002692	TimeIntervals	Lick
1312.3772500000002	0.1667499999998654	TimeIntervals	Lick
1313.6442500000003	0.09999999999968168	TimeIntervals	Lick
1318.245	0.8332499999999072	TimeIntervals	Light
1325.1125000000002	1.300249999999778	TimeIntervals	Tone
1330.6135	0.8667499999999109	TimeIntervals	Light
